Data; Wartość; Rodzaj;
2023-10-04 21:15;0,0200;pobrana [kWh];
2023-10-04 21:30;0,0210;pobrana [kWh];
2023-10-04 21:45;0,0210;pobrana [kWh];
2023-10-04 22:00;0,0210;pobrana [kWh];
2023-10-04 22:15;0,0310;pobrana [kWh];
2023-10-04 22:30;0,0280;pobrana [kWh];
2023-10-04 22:45;0,0210;pobrana [kWh];
2023-10-04 23:00;0,0210;pobrana [kWh];
2023-10-04 23:15;0,0210;pobrana [kWh];
2023-10-04 23:30;0,0210;pobrana [kWh];
2023-10-04 23:45;0,0210;pobrana [kWh];
2023-10-05 00:00;0,0210;pobrana [kWh];
2023-10-05 00:15;0,0300;pobrana [kWh];
2023-10-05 00:30;0,0310;pobrana [kWh];
2023-10-05 00:45;0,0210;pobrana [kWh];
2023-10-05 01:00;0,0210;pobrana [kWh];
2023-10-05 01:15;0,0200;pobrana [kWh];
2023-10-05 01:30;0,0210;pobrana [kWh];
2023-10-05 01:45;0,0210;pobrana [kWh];
2023-10-05 02:00;0,0220;pobrana [kWh];
2023-10-05 02:15;0,0270;pobrana [kWh];
2023-10-05 02:30;0,0310;pobrana [kWh];
2023-10-05 02:45;0,0230;pobrana [kWh];
2023-10-05 03:00;0,0210;pobrana [kWh];
2023-10-05 03:15;0,0210;pobrana [kWh];
2023-10-05 03:30;0,0210;pobrana [kWh];
2023-10-05 03:45;0,0210;pobrana [kWh];
2023-10-05 04:00;0,0210;pobrana [kWh];
2023-10-05 04:15;0,0240;pobrana [kWh];
2023-10-05 04:30;0,0310;pobrana [kWh];
2023-10-05 04:45;0,0250;pobrana [kWh];
2023-10-05 05:00;0,0210;pobrana [kWh];
2023-10-05 05:15;0,0210;pobrana [kWh];
2023-10-05 05:30;0,0210;pobrana [kWh];
2023-10-05 05:45;0,0210;pobrana [kWh];
2023-10-05 06:00;0,0200;pobrana [kWh];
2023-10-05 06:15;0,0210;pobrana [kWh];
2023-10-05 06:30;0,0320;pobrana [kWh];
2023-10-05 06:45;0,0290;pobrana [kWh];
2023-10-05 07:00;0,0230;pobrana [kWh];
2023-10-05 07:15;0,0040;pobrana [kWh];
2023-10-05 07:30;0,0000;pobrana [kWh];
2023-10-05 07:45;0,0000;pobrana [kWh];
2023-10-05 08:00;0,0050;pobrana [kWh];
2023-10-05 08:15;0,0000;pobrana [kWh];
2023-10-05 08:30;0,0000;pobrana [kWh];
2023-10-05 08:45;0,0000;pobrana [kWh];
2023-10-05 09:00;0,0000;pobrana [kWh];
2023-10-05 09:15;0,0000;pobrana [kWh];
2023-10-05 09:30;0,0000;pobrana [kWh];
2023-10-05 09:45;0,0000;pobrana [kWh];
2023-10-05 10:00;0,0000;pobrana [kWh];
2023-10-05 10:15;0,0880;pobrana [kWh];
2023-10-05 10:30;0,0120;pobrana [kWh];
2023-10-05 10:45;0,0040;pobrana [kWh];
2023-10-05 11:00;0,0000;pobrana [kWh];
2023-10-05 11:15;0,0000;pobrana [kWh];
2023-10-05 11:30;0,0000;pobrana [kWh];
2023-10-05 11:45;0,0100;pobrana [kWh];
2023-10-05 12:00;0,0300;pobrana [kWh];
2023-10-05 12:15;0,0000;pobrana [kWh];
2023-10-05 12:30;0,0000;pobrana [kWh];
2023-10-05 12:45;0,1190;pobrana [kWh];
2023-10-05 13:00;0,3300;pobrana [kWh];
2023-10-05 13:15;0,4950;pobrana [kWh];
2023-10-05 13:30;0,3660;pobrana [kWh];
2023-10-05 13:45;0,0060;pobrana [kWh];
2023-10-05 14:00;0,0000;pobrana [kWh];
2023-10-05 14:15;0,0040;pobrana [kWh];
2023-10-05 14:30;0,0000;pobrana [kWh];
2023-10-05 14:45;0,0000;pobrana [kWh];
2023-10-05 15:00;0,0000;pobrana [kWh];
2023-10-05 15:15;0,0000;pobrana [kWh];
2023-10-05 15:30;0,0000;pobrana [kWh];
2023-10-05 15:45;0,0000;pobrana [kWh];
